pic,value,key,,,,,,,,,
ZF_1_seq_32,9,14,,,,,,,,,
Ackee_1_seq_1,17,15,,,,,,,,,
Ake_1_seq_1,12,15,,,,,,,,,
Finger_1_seq_1,10,15,,,,,,,,,
Gac_1_seq_1,12,15,,,,,,,,,
Noni_1_seq_1,10,15,,,,,,,,,
Sapota_1_seq_1,4,15,,,,,,,,,
Tamanid_1_seq_1,17,15,,,,,,,,,
ZF_1_seq_1,4,15,,,,,,,,,
Ackee_1_seq_3,17,15,,,,,,,,,
Ake_1_seq_3,12,15,,,,,,,,,
Finger_1_seq_3,10,15,,,,,,,,,
Gac_1_seq_3,12,15,,,,,,,,,
Noni_1_seq_3,10,15,,,,,,,,,
Sapota_1_seq_3,4,15,,,,,,,,,
Tamanid_1_seq_3,17,15,,,,,,,,,
ZF_1_seq_3,4,15,,,,,,,,,
Ackee_1_seq_5,17,15,,,,,,,,,
Ake_1_seq_5,12,15,,,,,,,,,
Finger_1_seq_5,10,15,,,,,,,,,
Gac_1_seq_5,12,15,,,,,,,,,
Noni_1_seq_5,10,15,,,,,,,,,
Sapota_1_seq_5,4,15,,,,,,,,,
Tamanid_1_seq_5,17,15,,,,,,,,,
ZF_1_seq_5,4,15,,,,,,,,,
Ackee_1_seq_7,17,15,,,,,,,,,
Ake_1_seq_7,12,15,,,,,,,,,
Finger_1_seq_7,10,15,,,,,,,,,
Gac_1_seq_7,12,15,,,,,,,,,
Noni_1_seq_7,10,15,,,,,,,,,
Sapota_1_seq_7,4,15,,,,,,,,,
Tamanid_1_seq_7,17,15,,,,,,,,,
ZF_1_seq_7,4,15,,,,,,,,,
Ackee_1_seq_9,17,15,,,,,,,,,
Ake_1_seq_9,12,15,,,,,,,,,
Finger_1_seq_9,10,15,,,,,,,,,
Gac_1_seq_9,12,15,,,,,,,,,
Noni_1_seq_9,10,15,,,,,,,,,
Sapota_1_seq_9,4,15,,,,,,,,,
Tamanid_1_seq_9,17,15,,,,,,,,,
ZF_1_seq_9,4,15,,,,,,,,,
Ackee_1_seq_11,17,15,,,,,,,,,
Ake_1_seq_11,12,15,,,,,,,,,
Finger_1_seq_11,10,15,,,,,,,,,
Gac_1_seq_11,12,15,,,,,,,,,
Noni_1_seq_11,10,15,,,,,,,,,
Sapota_1_seq_11,4,15,,,,,,,,,
Tamanid_1_seq_11,17,15,,,,,,,,,
ZF_1_seq_11,4,15,,,,,,,,,
Ackee_1_seq_13,17,15,,,,,,,,,
Ake_1_seq_13,12,15,,,,,,,,,
Finger_1_seq_13,10,15,,,,,,,,,
Gac_1_seq_13,12,15,,,,,,,,,
Noni_1_seq_13,10,15,,,,,,,,,
Sapota_1_seq_13,4,15,,,,,,,,,
Tamanid_1_seq_13,17,15,,,,,,,,,
ZF_1_seq_13,4,15,,,,,,,,,
Ackee_1_seq_15,17,15,,,,,,,,,
Ake_1_seq_15,12,15,,,,,,,,,
Finger_1_seq_15,10,15,,,,,,,,,
Gac_1_seq_15,12,15,,,,,,,,,
Noni_1_seq_15,10,15,,,,,,,,,
Sapota_1_seq_15,4,15,,,,,,,,,
Tamanid_1_seq_15,17,15,,,,,,,,,
ZF_1_seq_15,4,15,,,,,,,,,
Ackee_1_seq_17,17,15,,,,,,,,,
Ake_1_seq_17,12,15,,,,,,,,,
Finger_1_seq_17,10,15,,,,,,,,,
Gac_1_seq_17,12,15,,,,,,,,,
Noni_1_seq_17,10,15,,,,,,,,,
Sapota_1_seq_17,4,15,,,,,,,,,
Tamanid_1_seq_17,17,15,,,,,,,,,
ZF_1_seq_17,4,15,,,,,,,,,
Ackee_1_seq_19,17,15,,,,,,,,,
Ake_1_seq_19,12,15,,,,,,,,,
Finger_1_seq_19,10,15,,,,,,,,,
Gac_1_seq_19,12,15,,,,,,,,,
Noni_1_seq_19,10,15,,,,,,,,,
Sapota_1_seq_19,4,15,,,,,,,,,
Tamanid_1_seq_19,17,15,,,,,,,,,
ZF_1_seq_19,4,15,,,,,,,,,
Ackee_1_seq_21,17,15,,,,,,,,,
Ake_1_seq_21,12,15,,,,,,,,,
Finger_1_seq_21,10,15,,,,,,,,,
Gac_1_seq_21,12,15,,,,,,,,,
Noni_1_seq_21,10,15,,,,,,,,,
Sapota_1_seq_21,4,15,,,,,,,,,
Tamanid_1_seq_21,17,15,,,,,,,,,
ZF_1_seq_21,4,15,,,,,,,,,
Ackee_1_seq_23,17,15,,,,,,,,,
Ake_1_seq_23,12,15,,,,,,,,,
Finger_1_seq_23,10,15,,,,,,,,,
Gac_1_seq_23,12,15,,,,,,,,,
Noni_1_seq_23,10,15,,,,,,,,,
Sapota_1_seq_23,4,15,,,,,,,,,
Tamanid_1_seq_23,17,15,,,,,,,,,
ZF_1_seq_23,4,15,,,,,,,,,
Ackee_1_seq_25,17,15,,,,,,,,,
Ake_1_seq_25,12,15,,,,,,,,,
Finger_1_seq_25,10,15,,,,,,,,,
Gac_1_seq_25,12,15,,,,,,,,,
Noni_1_seq_25,10,15,,,,,,,,,
Sapota_1_seq_25,4,15,,,,,,,,,
Tamanid_1_seq_25,17,15,,,,,,,,,
ZF_1_seq_25,4,15,,,,,,,,,
Ackee_1_seq_27,17,15,,,,,,,,,
Ake_1_seq_27,12,15,,,,,,,,,
Finger_1_seq_27,10,15,,,,,,,,,
Gac_1_seq_27,12,15,,,,,,,,,
Noni_1_seq_27,10,15,,,,,,,,,
Sapota_1_seq_27,4,15,,,,,,,,,
Tamanid_1_seq_27,17,15,,,,,,,,,
ZF_1_seq_27,4,15,,,,,,,,,
Ackee_1_seq_29,17,15,,,,,,,,,
Ake_1_seq_29,12,15,,,,,,,,,
Finger_1_seq_29,10,15,,,,,,,,,
Gac_1_seq_29,12,15,,,,,,,,,
Noni_1_seq_29,10,15,,,,,,,,,
Sapota_1_seq_29,4,15,,,,,,,,,
