,count,mean,std,min,25%,50%,75%,max,name
17,75464.0,164.5171607653981,14.521903268535771,50.17,153.71749999999997,165.65,175.60000000000002,215.43999999999997,data/FIN_Известные/Limon_6b.png
18,86031.0,122.2241304878474,41.9716774487183,14.61,88.69,108.28999999999999,152.83999999999997,250.94,data/FIN_Известные/Peper_1.png
19,110341.0,123.38756065288513,43.91210170795188,42.339999999999996,90.36,112.61,154.98999999999998,254.99999999999997,data/FIN_Известные/Peper_3.png
20,79722.0,90.19126602443491,55.4149246294173,12.77,48.74999999999999,75.44,112.75999999999999,254.99999999999997,data/FIN_Известные/Finik_8.png
21,102229.0,126.81999413082393,53.74102924953553,23.29,88.50999999999999,121.13000000000001,162.72999999999996,247.44,data/FIN_Известные/Tomat_8.png
22,94650.0,122.59249455890121,33.86224765680972,0.0,98.46999999999998,119.29999999999998,137.20749999999998,254.99999999999997,data/FIN_Известные/Peper_2.png
23,42367.0,155.27310666320486,57.69271291614826,0.0,115.99000000000001,165.68,200.45,242.99999999999997,data/FIN_Известные/Banan_7а.png
24,66561.0,98.21715839605774,32.335519158192795,40.47,73.6,89.27,116.31,220.66999999999996,data/FIN_Известные/Finik_4.png
25,58596.0,102.39103061642433,59.531390291174866,26.669999999999998,47.88,89.845,149.73250000000002,254.99999999999997,data/FIN_Известные/Redis_1.png
26,121197.0,195.52063961979252,12.752594222539129,126.83,186.27999999999997,193.16,207.63,220.29999999999998,data/FIN_Известные/Limon_9b.png
27,97952.0,101.51370885739954,49.10648973937638,0.0,67.25,89.13,129.2125,254.99999999999997,data/FIN_Известные/Tomat_4.png
28,13826.0,129.9753196875452,24.97658125234749,43.21,115.0625,128.535,143.54749999999999,224.28999999999996,data/FIN_Известные/Goroh_2.png
29,24228.0,139.5404131583292,40.35673921537255,46.900000000000006,108.62,133.67000000000002,171.39249999999998,254.99999999999997,data/FIN_Известные/Goroh_3.png
30,93821.0,142.1476457296341,72.38235480267929,0.0,61.18000000000001,183.09,208.37,225.0,data/FIN_Известные/Kokos_4а.png
31,110431.0,83.46539576749282,37.71511404301615,28.56,54.28,66.55,107.21000000000001,248.60999999999999,data/FIN_Известные/Tomat_5.png
32,64962.0,59.97253363504818,31.429675973666765,4.57,31.8,59.37,80.38000000000001,183.48999999999998,data/FIN_Известные/Finik_5.png
33,55090.0,135.25373606825195,53.01795715702441,6.130000000000001,89.57,131.85,176.82999999999998,243.58,data/FIN_Известные/Finik_7.png
34,34179.0,99.94839345797128,58.50935948673242,29.669999999999998,53.79,78.34,136.09,251.25,data/FIN_Известные/Redis_2.png
35,116276.0,166.67504282913072,26.026466529101207,59.870000000000005,145.23,167.01,191.05,211.99999999999997,data/FIN_Известные/Limon_5b.png
36,103570.0,127.12067278169353,44.8410939612481,16.509999999999998,94.82,130.74,163.73,233.17,data/FIN_Известные/Tomat_7.png
37,41774.0,138.29762771101645,36.88951021019895,44.910000000000004,111.0825,138.12,164.5675,254.99999999999997,data/FIN_Известные/Goroh_1.png
38,44163.0,162.63793492289923,20.47743152050862,27.45,147.51,163.89000000000001,179.42000000000002,204.0,data/FIN_Известные/Banan_4b.png
39,87375.0,121.3917652646638,43.50330541570628,13.379999999999999,88.5,116.24,146.88,254.99999999999997,data/FIN_Известные/Tomat_6.png
40,36197.0,131.32190568279137,54.841598757771244,33.39,86.57000000000001,117.39999999999999,167.44,254.99999999999997,data/FIN_Известные/Redis_3.png
41,53858.0,90.96955067028112,38.48312827071605,5.08,61.46999999999999,85.75999999999999,117.43999999999998,231.93,data/FIN_Известные/Finik_6.png
42,29085.0,150.55323740759843,42.098295869636026,48.21999999999999,116.64999999999998,151.35000000000002,187.15,229.99999999999997,data/FIN_Известные/Goroh_6а (1).png
43,57425.0,113.19500026121025,43.53043947105365,0.0,85.11,101.27,124.29999999999998,254.99999999999997,data/FIN_Известные/Redis_7.png
