,Session_Name_,Trial_Index_,Trial_Recycled_,block_number,pic_1,pic_type1_1,expected,pic_search_1,TRIAL_INDEX,RESPONSE,KEYPRESS,RT,DISPLAY_ON_TIME,KEY_RESPONSE_TIME,seq,presenting_type,prop_presentation
15,D150922,16,False,0,Finger_1.jpg,0,s,Finger_1_17.png,16,correct,s,3303,206092.62,209396.02,32,16,17
16,D150922,17,False,0,ZF_1.jpg,0,w,ZF_1_15.png,17,correct,w,1436,215368.02,216804.09,32,17,15
17,D150922,18,False,0,Tamanid_1.jpg,0,q,Tamanid_1_14.png,18,correct,q,2110,222742.37,224852.91,32,16,14
18,D150922,19,False,0,Finger_1.jpg,0,q,Finger_1_14.png,19,correct,q,2371,230817.02,233188.26,32,16,14
19,D150922,20,False,0,Sapota_1.jpg,0,s,Sapota_1_17.png,20,correct,s,3261,239141.94,242403.58,32,15,17
20,D150922,21,False,0,Noni_1.jpg,0,a,Noni_1_16.png,21,correct,a,4623,248357.24,252981.13,32,14,16
21,D150922,22,False,0,Ake_1.jpg,0,s,Ake_1_17.png,22,correct,s,1069,258933.46,260003.13,32,15,17
22,D150922,23,False,0,Ackee_1.jpg,0,a,Ackee_1_16.png,23,correct,a,1112,265947.49,267059.82,32,14,16
23,D150922,24,False,0,Gac_1.jpg,0,w,Gac_1_15.png,24,correct,w,1005,273031.62,274036.93,32,17,15
24,D150922,25,False,0,Ackee_1.jpg,0,s,Ackee_1_17.png,25,correct,s,1173,280015.73,281188.9,32,14,17
25,D150922,26,False,0,Gac_1.jpg,0,a,Gac_1_16.png,26,correct,a,1663,287139.89,288803.4,32,17,16
26,D150922,27,False,0,ZF_1.jpg,0,a,ZF_1_16.png,27,correct,a,780,294744.31,295524.84,32,17,16
27,D150922,28,False,0,Tamanid_1.jpg,0,w,Tamanid_1_15.png,28,correct,w,1741,301478.19,303219.84,32,16,15
28,D150922,29,False,0,Finger_1.jpg,0,w,Finger_1_15.png,29,correct,w,1177,309162.7,310339.92,32,16,15
