pic_name,sound_code,слово,sound,sound_trigger,метка_seq1,название категории,,pic_name,№_pic,pic,№_old,pic_code,pic_file,pic_trigger,quest1_a,quest1_a_sound_id,quest1_a_sound,quest1_a_trigger,ans,quest1_b,quest1_b_sound_id,quest1_b_sound,quest1_b_sound_trigger,quest2_b,quest2_b_sound_id,quest2_b_sound,ans,quest2_b_sound_trigger,ac_row,Дистракторы,dis_for_EE,dis_for_FM,Экспл_реал,FM_цель,FM_Экспл_реал,,Тропики,Огород,Тропики_короткие,Ogorod_short,,,,,,,Новые_понятия,,Известные_понятия,,,
Kokos,1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_6,Kokos_6,,2030,pics\\Kokos_6.jpg,203,,0,0,0,0,,294,sound\\Na_monitore.wav,801,,62,sound\\Plotniy_li_on.wav,да,804,2202,pics\\dis47.jpg,pics\\dis47.jpg,,pics\\Kokos_6.jpg,0,pics\\Peper_6.jpg,pics\\Peper,,pics\\Peper_6.jpg,pics\\Injir_6.jpg,pics\\Tikva_6.jpg,0.373687171,pics\\Injir_3.jpg,pics\\Tikva_3.jpg,,,0.514503887,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
Kokos,1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_7,Kokos_7,,2031,pics\\Kokos_7.jpg,203,,0,0,0,0,,295,sound\\Pered_vami.wav,801,,63,sound\\On_vorsistyi.wav,да,804,2230,pics\\dis8.jpg,pics\\dis8.jpg,,pics\\Kokos_7.jpg,0,pics\\Peper_7.jpg,pics\\Peper,,pics\\Peper_7.jpg,pics\\Injir_7.jpg,pics\\Tikva_7.jpg,0.137974314,pics\\Injir_5.jpg,pics\\Tikva_5.jpg,,,0.281627477,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
Kokos,1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_8,Kokos_8,,2032,pics\\Kokos_8.jpg,203,,0,0,0,0,,296,sound\\Vi_vidite.wav,801,,64,sound\\On_myagkiy.wav,нет,804,2214,pics\\dis63.jpg,pics\\dis63.jpg,,pics\\Kokos_8.jpg,0,pics\\Peper_8.jpg,pics\\Peper,,pics\\Peper_8.jpg,pics\\Injir_8.jpg,pics\\Tikva_8.jpg,0.02900814,pics\\Injir_8.jpg,pics\\Tikva_8.jpg,,,0.966797355,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
Redis,300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_1,Redis_1,,2049,pics\\Redis_1.jpg,206,,209,sound\\S_botvoy_li.wav,801,да,,0,0,0,,0,0,0,0,2028,pics\\Kokos_4.jpg,0,pics\\Kokos_4.jpg,,sound\\Ogorod,pics\\Finik_1.jpg,pics\\Finik,pics\\Finik_1.jpg,,,,,,,pics\\Kokos_4.jpg,,0.137745352,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
Redis,300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_2,Redis_2,,2050,pics\\Redis_2.jpg,206,,210,sound\\Alyi_li.wav,801,да,,0,0,0,,0,0,0,0,2159,pics\\Injir_7.jpg,0,pics\\Injir_7.jpg,,sound\\Ogorod,pics\\Finik_2.jpg,pics\\Finik,pics\\Finik_2.jpg,,,,,,,pics\\Injir_7.jpg,,0.26531727,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
Redis,300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_3,Redis_3,,2051,pics\\Redis_3.jpg,206,,211,sound\\Pryaniy_li.wav,801,нет,,0,0,0,,0,0,0,0,2009,pics\\Finik_1.jpg,0,pics\\Finik_1.jpg,,sound\\Ogorod,pics\\Finik_3.jpg,pics\\Finik,pics\\Finik_3.jpg,,,,,,,pics\\Finik_1.jpg,,0.167991416,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
Redis,300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_4,Redis_4,,2052,pics\\Redis_4.jpg,206,,212,sound\\Zhirniy_li.wav,801,нет,,0,0,0,,0,0,0,0,2031,pics\\Kokos_7.jpg,0,pics\\Kokos_7.jpg,,sound\\Ogorod,pics\\Finik_4.jpg,pics\\Finik,pics\\Finik_4.jpg,,,,,,,pics\\Kokos_7.jpg,,0.482666849,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
Redis,300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_5,Redis_5,,2053,pics\\Redis_5.jpg,206,,213,sound\\Solenniy_li.wav,801,нет,,0,0,0,,0,0,0,0,2032,pics\\Kokos_8.jpg,0,pics\\Kokos_8.jpg,,sound\\Ogorod,pics\\Finik_5.jpg,pics\\Finik,pics\\Finik_5.jpg,,,,,,,pics\\Kokos_8.jpg,,0.911140075,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
Redis,300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_6,Redis_6,,2054,pics\\Redis_6.jpg,206,,214,sound\\Pishniy_li.wav,801,нет,,0,0,0,,0,0,0,0,2010,pics\\Finik_2.jpg,0,pics\\Finik_2.jpg,,sound\\Ogorod,pics\\Finik_6.jpg,pics\\Finik,pics\\Finik_6.jpg,,,,,,,pics\\Finik_2.jpg,,0.301700011,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
Redis,300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_7,Redis_7,,2055,pics\\Redis_7.jpg,206,,215,sound\\Krepkiy_li.wav,801,да,,0,0,0,,0,0,0,0,2029,pics\\Kokos_5.jpg,0,pics\\Kokos_5.jpg,,sound\\Ogorod,pics\\Finik_7.jpg,pics\\Finik,pics\\Finik_7.jpg,,,,,,,pics\\Kokos_5.jpg,,0.46088994,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
